# ==============================================================================
# --- est / hse diff ---
# ==============================================================================
# --- 屋苑與公屋類別 (含有 邨/苑/山莊) ------------------------
九龍站柯士甸道西1號君臨天下18座7樓782室 | 九龍站柯士甸道西1號君臨天下 | 18座7樓782室
九肚山麗坪路18號名日‧九肚山El Futuro 3樓4室 | 九肚山麗坪路18號名日‧九肚山 | El Futuro 3樓4室
九龍站柯士甸道西1號擎天半島3座2F | 九龍站柯士甸道西1號 | 擎天半島3座2F
粉嶺坪輋路五和新村3號地下 | 粉嶺坪輋路 | 五和新村3號地下
屯門鳴琴路寶田邨第4座12樓10室 | 屯門鳴琴路寶田邨 | 第4座12樓10室
港島南區淺水灣大潭水塘道88號陽明山莊23 | 港島南區淺水灣 | 大潭水塘道88號陽明山莊23
香港柴湾小西湾邨瑞乐楼21楼3室 | 香港柴湾小西湾邨 | 瑞乐楼21楼3室
香港柴灣小西灣邨瑞樂樓21樓3室 | 香港柴灣小西灣邨 | 瑞樂樓21樓3室
九龙钻石山龙蟠苑龙珠阁15楼F室 | 九龙钻石山龙蟠苑 | 龙珠阁15楼F室
九龍鑽石山龍蟠苑龍珠閣15樓F室 | 九龍鑽石山龍蟠苑 | 龍珠閣15樓F室
新界大埔帝欣苑2座18楼A室 | 新界大埔帝欣苑 | 2座18楼A室
新界大埔帝欣苑2座18樓A室 | 新界大埔帝欣苑 | 2座18樓A室
九龙蓝田启田邨启旺楼8楼803室 | 九龙蓝田启田邨 | 启旺楼8楼803室
九龍藍田啟田邨啟旺樓8樓803室 | 九龍藍田啟田邨 | 啟旺樓8樓803室
香港薄扶林置富花园富荣苑15座5楼C | 香港薄扶林置富花园 | 富荣苑15座5楼C
香港薄扶林置富花園富榮苑15座5樓C | 香港薄扶林置富花園 | 富榮苑15座5樓C
新界马鞍山锦英苑锦强阁25楼4室 | 新界马鞍山锦英苑 | 锦强阁25楼4室
新界馬鞍山錦英苑錦強閣25樓4室 | 新界馬鞍山錦英苑 | 錦強閣25樓4室
新界粉岭华明邨信明楼19楼B室 | 新界粉岭华明邨 | 信明楼19楼B室
新界粉嶺華明邨信明樓19樓B室 | 新界粉嶺華明邨 | 信明樓19樓B室
香港仔鸭脷洲利东邨东兴楼11楼6室 | 香港仔鸭脷洲利东邨 | 东兴楼11楼6室
香港仔鴨脷洲利東邨東昇樓11樓6室 | 香港仔鴨脷洲利東邨 | 東昇樓11樓6室
九龙乐富横头磡邨宏业楼16楼12室 | 九龙乐富横头磡邨 | 宏业楼16楼12室
九龍樂富橫頭磡邨宏業樓16樓12室 | 九龍樂富橫頭磡邨 | 宏業樓16樓12室
新界元朗朗屏邨贺屏楼23楼 | 新界元朗朗屏邨 | 贺屏楼23楼
新界元朗朗屏邨賀屏樓23樓 | 新界元朗朗屏邨 | 賀屏樓23樓
新界沙田沙田第一城第10座20楼D室 | 新界沙田沙田第一城 | 第10座20楼D室
新界沙田沙田第一城第10座20樓D室 | 新界沙田沙田第一城 | 第10座20樓D室
新界屯门蝴蝶邨蝶影楼14楼1414室 | 新界屯门蝴蝶邨 | 蝶影楼14楼1414室
新界屯門蝴蝶邨蝶影樓14樓1414室 | 新界屯門蝴蝶邨 | 蝶影樓14樓1414室
香港仔华富(二)邨商场平台2号铺 | 香港仔华富(二)邨 | 商场平台2号铺
香港仔華富(二)邨商場平台2號舖 | 香港仔華富(二)邨 | 商場平台2號舖
新界将军澳宝林邨宝宁楼7楼707室 | 新界将军澳宝林邨 | 宝宁楼7楼707室
新界將軍澳寶林邨寶寧樓7樓707室 | 新界將軍澳寶林邨 | 寶寧樓7樓707室
九龙慈云山慈正邨正和楼5楼A室 | 九龙慈云山慈正邨 | 正和楼5楼A室
九龍慈雲山慈正邨正和樓5樓A室 | 九龍慈雲山慈正邨 | 正和樓5樓A室
新界青衣长安邨安湄楼30楼3002室 | 新界青衣长安邨 | 安湄楼30楼3002室
新界青衣長安邨安湄樓30樓3002室 | 新界青衣長安邨 | 安湄樓30樓3002室
新界上水天平邨天喜楼3楼310室 | 新界上水天平邨 | 天喜楼3楼310室
新界上水天平邨天喜樓3樓310室 | 新界上水天平邨 | 天喜樓3樓310室
九龙油塘高翔苑高康阁22楼G室 | 九龙油塘高翔苑 | 高康阁22楼G室
九龍油塘高翔苑高康閣22樓G室 | 九龍油塘高翔苑 | 高康閣22樓G室
香港筲箕湾东旭苑东晓阁17楼 | 香港筲箕湾东旭苑 | 东晓阁17楼
香港筲箕灣東旭苑東曉閣17樓 | 香港筲箕灣東旭苑 | 東曉閣17樓
